ascending;12;17;27;39;27;53;71;29;55;51;54;83;115;82;101;77
descending;29;15;16;48;22;26;36;68;38;140;54;45;64;50;123;126
constant;1;2;2;2;4;3;5;4;3;5;4;5;42;6;6;6
random;16;53;24;93;30;76;121;115;116;116;91;95;138;135;109;113
vShape;16;46;27;55;51;25;28;56;50;98;64;76;71;80;92;90
ascending;12;13;16;28;40;27;26;53;34;38;87;60;72;107;84;85
descending;18;18;19;23;29;39;27;39;71;71;52;52;76;86;80;97
constant;1;2;3;3;3;2;3;18;3;4;5;4;6;29;5;6
random;14;26;46;29;35;68;218;48;62;92;99;102;108;106;126;122
vShape;20;16;46;25;59;31;54;63;56;65;76;50;93;90;114;76
ascending;11;23;15;42;43;58;121;29;31;101;81;85;72;62;67;69
descending;11;48;20;38;24;24;42;76;31;97;57;52;137;102;75;102
constant;1;1;2;2;2;4;5;4;4;4;4;6;5;5;5;8
random;27;18;47;37;169;71;49;70;72;83;63;99;102;125;110;90
vShape;12;44;16;50;51;25;45;49;77;49;48;68;55;121;91;72
