ascending;3;5;3;5;6;7;18;7;45;8;10;10;25;55;15;16
descending;90;3;5;4;5;5;6;8;25;9;48;10;12;92;14;12
constant;5;6;15;9;46;10;12;47;14;16;46;36;24;95;63;60
random;13;30;15;70;26;31;56;102;45;53;93;60;75;84;90;75
vShape;801;610;932;354;870;238;575;133;78;920;286;815;68;127;538;572
ascending;3;3;5;4;6;5;20;8;7;7;20;11;14;10;11;36
descending;3;3;3;5;5;5;5;17;36;10;9;9;11;13;12;13
constant;22;7;9;8;26;13;16;12;16;46;19;40;52;20;21;27
random;10;35;16;33;19;33;35;24;45;56;64;39;56;86;82;112
vShape;15;308ascending;5;4;3;67;4;25;10;7;7;14;9;80;9;24;40;28
descending;2;3;24;6;6;5;46;7;7;9;9;10;15;11;16;13
constant;5;7;44;10;9;43;11;15;67;19;33;18;21;42;27;37
random;13;11;23;44;53;34;21;188;32;37;62;71;49;68;62;60
vShape;636;842;448;926;286;797;687;975;925;462;182;471;636;628;52;73
