ascending;3;4;5;11;5;6;7;14;7;8;8;9;9;52;13;13
descending;3;45;3;4;5;7;9;7;9;61;10;9;51;16;14;13
constant;5;6;7;9;10;14;12;17;17;27;19;18;45;22;43;30
random;10;16;13;27;21;63;22;26;52;45;31;86;38;68;41;121
vShape;22;492;787;110;602;52;344;162;724;512;797;342;432;198;764;70
ascending;2;3;4;5;4;5;8;9;10;9;7;13;9;9;51;12
descending;3;3;6;4;5;5;6;6;7;9;11;47;12;13;13;25
constant;5;5;7;16;9;14;25;15;41;17;17;17;18;39;22;21
random;10;11;32;14;53;29;49;43;46;39;46;47;46;56;63;68
vShape;883;416;332ascending;7;2;3;4;5;5;5;6;8;7;8;32;9;10;13;12
descending;2;3;4;4;5;6;18;7;9;7;26;10;10;11;36;18
constant;5;8;35;11;9;9;47;13;14;26;26;66;18;27;21;22
random;13;16;18;15;17;44;21;25;40;43;36;46;50;218;64;58
vShape;741;754;301;828;57;409;409;632;623;702;521;78;606;161;417;204
